tconst,primaryTitle,titleType,genres,averageRating,numVotes,country,rt_rating,mc_rating
tt0131646,Wing Commander,movie,"Action,Adventure,Sci-Fi",4.3,16647.0,"USA, Luxembourg",10,21
tt0192731,Urban Legends: Final Cut,movie,"Horror,Mystery",4.3,17095.0,"USA, Canada",9,16
tt1373215,Recep Ivedik 2,movie,Comedy,4.3,20090.0,Turkey,,
tt2309260,The Gallows,movie,"Horror,Mystery,Thriller",4.3,20137.0,USA,14,30
tt0422774,Are We Done Yet?,movie,"Comedy,Family,Fantasy",4.3,20626.0,"Canada, USA",8,36
tt3612126,The Grudge,movie,"Fantasy,Horror",4.3,23364.0,"USA, Canada",20,41
tt1615918,Alvin and the Chipmunks: Chipwrecked,movie,"Adventure,Animation,Comedy",4.3,33648.0,USA,12,24
tt0105477,Stop! Or My Mom Will Shoot,movie,"Action,Comedy",4.3,41272.0,USA,11,
tt0338459,Spy Kids 3-D: Game Over,movie,"Action,Adventure,Comedy",4.3,58028.0,USA,45,57
tt1333125,Movie 43,movie,Comedy,4.3,102871.0,USA,4,18
tt1071875,Ghost Rider: Spirit of Vengeance,movie,"Action,Fantasy,Thriller",4.3,115407.0,"USA, United Arab Emirates",18,34
tt4083572,Urge,movie,Thriller,4.4,10320.0,USA,0,
tt3774790,400 Days,movie,"Mystery,Sci-Fi,Thriller",4.4,10969.0,USA,22,
tt2314824,Behaving Badly,movie,"Comedy,Romance",4.4,11481.0,USA,0,18
tt8400758,Killers Anonymous,movie,"Action,Crime,Mystery",4.4,11705.0,UK,0,22
tt4824308,God's Not Dead 2,movie,Drama,4.4,12176.0,USA,10,22
tt6772804,Escape Plan: The Extractors,movie,"Action,Crime,Thriller",4.4,13448.0,USA,25,
tt1287468,Cats & Dogs: The Revenge of Kitty Galore,movie,"Action,Adventure,Comedy",4.4,14813.0,"USA, Australia",13,30
tt0393735,The Shaggy Dog,movie,"Comedy,Family,Fantasy",4.4,18897.0,USA,26,43
tt9419834,Secret Obsession,movie,Thriller,4.4,20199.0,USA,28,
tt0383060,Zoom,movie,"Action,Adventure,Comedy",4.4,20537.0,USA,4,26
tt1748197,Setup,movie,"Action,Crime,Drama",4.4,20971.0,USA,,
tt0088206,Supergirl,movie,"Action,Adventure,Fantasy",4.4,21317.0,UK,9,41
tt2167202,Getaway,movie,"Action,Thriller",4.4,23928.0,"USA, Bulgaria",3,22
tt0775440,Cell,movie,"Action,Adventure,Horror",4.4,27133.0,USA,11,38
tt0120841,Species II,movie,"Action,Horror,Sci-Fi",4.4,28735.0,USA,9,19
tt0107438,Look Who's Talking Now,movie,"Comedy,Family,Romance",4.4,28747.0,USA,0,26
tt0098105,Police Academy 6: City Under Siege,movie,"Comedy,Crime",4.4,30527.0,USA,0,16
tt0257568,Kangaroo Jack,movie,"Action,Adventure,Comedy",4.4,30923.0,"USA, Australia",,16
tt0084021,Grease 2,movie,"Comedy,Drama,Musical",4.4,34494.0,USA,34,52
tt3450650,Paul Blart: Mall Cop 2,movie,"Action,Comedy,Crime",4.4,36184.0,USA,6,13
tt0430912,Basic Instinct 2,movie,"Drama,Mystery,Thriller",4.4,38776.0,"UK, Germany, Spain, USA",6,26
tt0144528,Nutty Professor II: The Klumps,movie,"Comedy,Romance,Sci-Fi",4.4,50091.0,USA,26,38
tt0211443,Jason X,movie,"Action,Horror,Sci-Fi",4.4,54269.0,"Canada, USA",19,25
tt1592873,LOL,movie,"Comedy,Drama,Romance",4.4,55242.0,USA,14,
tt1467304,The Human Centipede (First Sequence),movie,Horror,4.4,76448.0,Netherlands,49,33
tt0370032,Ultraviolet,movie,"Action,Sci-Fi",4.4,80895.0,USA,8,18
tt1241317,Death Note,movie,"Action,Crime,Drama",4.4,81368.0,USA,37,43
tt1564585,Skyline,movie,"Action,Sci-Fi,Thriller",4.4,88882.0,USA,15,26
tt0092115,Troll,movie,"Comedy,Fantasy,Horror",4.5,10008.0,"USA, Italy",30,30
tt0103003,Suburban Commando,movie,"Action,Comedy,Sci-Fi",4.5,10033.0,USA,15,
tt1913166,Nurse,movie,"Horror,Thriller",4.5,10271.0,"USA, Canada",64,29
tt1274586,Dying of the Light,movie,"Action,Drama,Thriller",4.5,10389.0,"Bahamas, USA",11,31
tt0308353,Happily N'Ever After,movie,"Adventure,Animation,Comedy",4.5,10543.0,"USA, Germany, Canada, UK",4,28
tt0093278,Ishtar,movie,"Action,Adventure,Comedy",4.5,10945.0,USA,38,52
tt0482603,Space Chimps,movie,"Adventure,Animation,Comedy",4.5,11403.0,USA,33,36
tt1087461,Megan Is Missing,movie,"Drama,Horror,Thriller",4.5,11499.0,USA,60,
tt0101627,Critters 3,movie,"Comedy,Horror,Sci-Fi",4.5,11786.0,USA,0,
tt1142800,Madea Goes to Jail,movie,"Comedy,Crime,Drama",4.5,11838.0,USA,29,50
tt1212974,Bitch Slap,movie,"Action,Comedy,Crime",4.5,13700.0,USA,33,19
tt0110687,North,movie,"Adventure,Comedy,Drama",4.5,13813.0,USA,14,
tt0106453,Body of Evidence,movie,"Drama,Thriller",4.5,14860.0,"Germany, USA",8,29
tt1878841,The Darkness,movie,"Horror,Thriller",4.5,15571.0,USA,3,27
tt0249380,Baise-moi,movie,"Crime,Drama,Thriller",4.5,17402.0,France,23,35
tt0110027,Highlander: The Final Dimension,movie,"Action,Fantasy,Romance",4.5,20666.0,"UK, France, Canada",,28
tt0367085,Soul Plane,movie,Comedy,4.5,22545.0,USA,18,33
tt0486640,Postal,movie,"Action,Comedy,Crime",4.5,22886.0,"USA, Canada, Germany",9,22
tt1464174,"Big Mommas: Like Father, Like Son",movie,"Action,Comedy,Crime",4.5,26654.0,USA,5,22
tt0115683,Bio-Dome,movie,Comedy,4.5,27053.0,USA,4,1
tt0110657,The Next Karate Kid,movie,"Action,Drama,Family",4.5,28856.0,USA,7,36
tt1714209,In the Land of Blood and Honey,movie,"Drama,Romance,War",4.5,34090.0,USA,57,56
tt2334871,Snatched,movie,"Action,Adventure,Comedy",4.5,34591.0,USA,36,45
tt0457297,The Butterfly Effect 2,movie,"Drama,Sci-Fi,Thriller",4.5,35319.0,USA,,
tt0498381,Rings,movie,"Drama,Horror,Mystery",4.5,39606.0,USA,8,25
tt0316732,Taxi,movie,"Action,Comedy,Crime",4.5,41531.0,"USA, France",9,27
tt0117765,Striptease,movie,"Comedy,Crime,Drama",4.5,44706.0,USA,14,37
tt1231580,Alvin and the Chipmunks: The Squeakquel,movie,"Adventure,Animation,Comedy",4.5,46610.0,USA,20,41
tt1204977,Ouija,movie,"Horror,Mystery,Thriller",4.5,51004.0,USA,6,38
tt0430304,Little Man,movie,"Comedy,Crime",4.5,53140.0,"USA, Canada",12,26
tt4477536,Fifty Shades Freed,movie,"Drama,Romance,Thriller",4.5,61012.0,USA,11,31
