tconst,rt_rating,mc_rating
tt0277296,41,45
tt0242423,17,30
tt2120120,18,27
tt0306047,35,49
tt0970416,20,40
tt1469304,17,37
tt0960144,37,54
tt1673434,49,52
tt1133985,26,39
tt0285728,73,63
tt2911668,37,34
tt0457275,,
tt0377749,56,
tt3862750,18,36
tt2865120,21,29
tt5616294,42,44
tt6643972,67,60
tt0763840,22,42
tt0796302,33,35
tt0762138,25,
tt1817081,47,38
tt0117372,60,
tt0110516,12,
tt0087015,29,57
tt1407084,3,22
tt1331307,,
tt4731148,36,
tt3799372,69,53
tt5179598,7,30
tt7957694,29,
tt0205177,14,
tt0810823,63,
tt0318283,11,32
tt0480239,12,28
tt7979142,36,44
tt0090837,50,22
tt0106292,16,53
tt0857376,,
tt2561546,66,47
tt0339412,55,57
tt0325258,22,36
tt3610746,29,
tt2265534,16,34
tt0780567,41,54
tt0282120,80,69
tt0120741,14,
tt0484877,33,
tt10060094,67,
tt6722030,33,39
tt1966566,50,49
tt0100232,19,38
tt0388500,38,53
tt0295289,25,27
tt4532038,29,34
tt9860728,67,
tt0803057,54,51
tt7451284,82,
tt0109439,15,43
tt2401097,23,45
tt0896534,29,36
tt1205558,5,28
tt0082377,30,34
tt1659338,30,39
tt0090927,17,37
tt5664636,47,53
tt0109676,39,
tt2011159,12,26
tt1545660,63,56
tt0884224,29,37
tt0134619,34,
tt0892767,33,
tt2398249,70,60
tt4244162,,
tt1095174,28,29
tt2243389,49,55
tt0809504,6,14
tt1798603,23,38
tt0445946,0,
tt0099165,16,27
tt0399327,12,33
tt0117420,14,
tt0174480,19,24
tt0110442,5,
tt1925431,7,
tt0249478,24,29
tt0486674,50,
tt0335559,55,52
tt0804540,,
tt1160368,31,38
tt0103859,46,45
tt0381966,40,
tt0114857,31,39
tt0414853,22,42
tt0092076,47,42
tt0114852,30,41
tt5523010,32,39
tt2072233,25,34
tt0192614,9,24
tt0258470,31,41
tt1082601,39,61
tt0091828,29,44
tt0814335,13,33
tt0242445,33,39
tt5057140,71,63
tt5619332,38,46
tt0305669,34,39
tt0384642,41,45
tt2230358,76,58
tt0306841,40,56
tt6781982,26,43
tt0101764,35,40
tt0118708,14,27
tt0462335,,65
tt3401882,25,37
tt1369706,33,38
tt0486583,21,42
tt0455960,19,28
tt4481514,20,30
tt0444682,8,36
tt1881002,60,52
tt1470023,48,43
tt0838232,13,36
tt0848557,62,66
tt0280486,10,37
tt6359956,32,42
tt1270761,60,56
tt1931435,7,28
tt0271668,11,31
tt7958736,56,53
tt0087050,36,45
tt6791096,35,48
tt2231253,31,40
tt2268016,65,60
tt0185371,31,28
tt6673612,15,26
tt0369735,18,31
tt0106701,27,49
tt1185416,17,25
tt0382628,47,52
tt2364841,7,36
tt0301470,24,36
tt0146336,23,35
tt0111255,10,
tt0285492,45,
tt0317303,27,39
tt0377471,30,37
tt0243736,39,53
tt0387877,32,49
tt1655460,59,53
tt1582507,13,31
tt0303816,62,56
tt1152398,21,40
tt2002718,29,41
tt0427229,23,47
tt0109254,9,16
tt0463034,20,46
tt0245674,17,30
tt2132285,60,66
tt1667353,50,46
tt1385867,18,31
tt0452625,5,19
tt0362478,43,47
tt0395699,21,30
tt0364970,7,26
tt1477076,10,24
tt0163187,46,39
tt0116705,20,34
tt2557478,42,44
tt0117218,64,62
tt0113492,22,
tt1000774,49,53
tt2283336,23,38
tt1038919,12,22
tt0790736,12,25
tt0134084,41,56
tt2096672,30,36
tt1648190,15,34
tt0325703,24,43
tt4779682,45,46
tt0346491,16,39
tt0160127,68,52
tt0370263,21,29
tt1284575,45,47
tt0486576,37,45
tt0286716,62,54
tt2109248,17,32
tt0071110,29,50
tt2312890,66,50
tt0075648,,36
tt4129870,70,65
tt0087451,9,44
tt3859310,48,50
tt0095107,36,44
tt7608534,43,
tt1974420,55,60
tt1640484,58,56
tt1111890,,
tt0164108,53,56
tt0488988,18,32
tt1837636,18,39
tt0090660,10,17
tt0380066,67,
tt0473356,,
tt0096118,50,
tt0076504,9,27
tt7042862,75,51
tt6288694,55,49
tt0085780,40,34
tt2101570,37,40
tt2282016,32,34
tt0758771,,45
tt4009278,50,39
tt0063035,23,
tt0097328,38,54
tt1523483,60,64
tt1640711,18,
tt0496436,75,
tt2099556,66,55
tt1311060,52,50
tt6957966,13,28
tt0084695,42,51
tt2499472,40,37
tt0102343,25,47
tt2667380,75,
tt0099204,55,50
tt0186589,28,48
tt0186045,29,25
tt1119191,71,
tt1725986,6,11
tt0337579,69,59
tt0099160,72,54
tt0091993,46,40
tt1686039,,
tt0338325,18,38
tt3748440,,
tt1701990,43,45
tt0089543,47,31
tt2126235,24,33
tt2474976,70,65
tt0280460,48,48
tt0089695,80,30
tt3095734,32,41
tt4281724,60,
tt1183374,,48
tt0098309,40,45
tt0493264,,
tt6198946,83,63
tt3501112,,
tt3520418,95,65
tt0116731,22,
tt0099385,0,34
tt3210686,21,37
tt1536410,0,
tt4728338,,
tt2304953,22,19
tt2095649,9,21
tt1389127,37,49
tt2062700,44,54
tt2238032,38,50
tt2937366,92,
tt0186894,53,52
tt9059704,72,58
tt2581244,45,50
tt1294970,9,21
tt1928340,67,37
tt0098141,24,63
tt0107711,30,41
tt1085779,81,57
tt1780798,44,42
tt6521876,64,46
tt5316540,37,51
tt0225071,,39
tt4581576,41,44
tt3152592,48,43
tt0404978,18,
tt1905040,48,49
tt0314498,16,35
tt0096101,38,
tt10003008,74,62
tt2490326,47,49
tt3177316,76,65
tt0155776,14,22
tt2101383,47,53
tt0091778,20,49
tt1713476,77,65
tt0112760,39,37
tt0077713,53,19
tt1821658,13,37
tt9784456,27,39
tt0119215,33,41
tt0120751,56,51
tt2537176,0,
tt0331953,29,45
tt0160009,16,30
tt1540128,4,27
tt0422401,55,57
tt0913354,40,50
tt4073790,15,39
tt0300532,36,61
tt0899106,16,33
tt3247714,8,28
tt5294518,48,
tt1814621,39,48
tt0416496,56,
tt4824302,8,18
tt0318155,57,64
tt9619798,33,33
tt2244901,51,50
tt1694020,37,50
tt3120280,61,60
tt0490084,4,26
tt3319920,14,32
tt0377713,,
tt1999995,59,20
tt0113845,22,
tt1430612,26,40
tt0117038,34,38
tt0491175,,42
tt2638144,25,38
tt0103893,36,48
tt4769836,9,22
tt1691917,25,39
tt0457433,10,31
tt1321509,43,51
tt8663516,64,48
tt1320244,73,63
tt0115857,18,
tt0083972,7,30
tt1334512,26,36
tt0108147,19,38
tt0338466,,62
tt2932536,53,52
tt0374102,71,63
tt0304669,56,48
tt0095742,52,56
tt0092493,9,41
tt0199753,14,34
tt0265029,32,44
tt5726086,33,49
tt7043012,61,61
